trial_id,reward,reward_hold,reward_drive,termination_hold,termination_drive,slip_m,contact_percentage_hold,detachment_fraction_hold,detached_hold,progress_m,progress_rate_mps,contact_percentage_drive,detachment_fraction_drive,detached_drive,stuck,walltime_s
0,-213.62330598999154,-213.62330598999154,-196.0562674221675,ok,ok,0.12466119799831535,0.787,0.21299999999999997,False,-0.21125348443351255,-0.04225914871644577,0.805,0.19499999999999995,False,False,2.9972665309906006
1,-457.2076122366084,-457.2076122366084,-279.4786213239662,ok,ok,18.961522447321673,0.6376,0.36240000000000006,False,10.144275735206776,2.0292609992412016,0.6698,0.33020000000000005,False,False,2.290130138397217
2,-204.53258313794987,-185.5304781602554,-204.53258313794987,ok,ok,2.4660956320510743,0.8268,0.17320000000000002,False,-9.146516627589968,-1.829669259369866,0.8412,0.15880000000000005,False,False,2.3309149742126465
3,-132.65032728829564,-132.65032728829564,-120.52308349966852,ok,ok,0.09006545765913317,0.8678,0.13219999999999998,False,0.17538330006628722,0.13669781766663397,0.8786,0.12139999999999995,False,False,1.7373313903808594
4,-999.8894904544072,-999.8894904544072,-976.8900778195809,detached,detached,0.017898090881422697,0.0002,0.9998,True,-0.01801556391619813,-0.003603833549949613,0.0232,0.9768,True,False,2.6657493114471436
5,-937.2971639255355,-457.91079785452246,-937.2971639255355,ok,detached,0.022159570904488488,0.5422,0.4578,False,-0.019432785107102613,-0.003887334488318183,0.0628,0.9372,True,False,2.9047608375549316
6,-162.41743496673976,-162.41743496673976,-126.84283977655836,ok,ok,1.2034869933479564,0.8436,0.15639999999999998,False,0.07143204468832115,1.519830738049385,0.8728,0.12719999999999998,False,False,1.5318970680236816
7,-313.20932230401024,-313.20932230401024,-207.31148074059544,ok,ok,36.56186446080206,0.8696,0.13039999999999996,False,-17.502296148119086,-3.5011594615161177,0.8802,0.11980000000000002,False,False,1.8331148624420166
8,-833.5102488509998,-833.5102488509998,-776.7020238722397,detached,ok,0.02204977019997294,0.1666,0.8334,True,-0.020404774447956575,-0.00408177124384008,0.2234,0.7766,False,False,2.924978494644165
9,-163.09636863133136,-147.60742473334673,-163.09636863133136,ok,ok,1.921484946669344,0.862,0.138,False,-7.219273726266274,-1.4441435739680473,0.873,0.127,False,False,2.667646884918213
10,-999.8815591678056,-999.8815591678056,-999.8814777342308,detached,detached,0.016311833561107384,0.0002,0.9998,True,-0.016295546846133713,-0.003259761321491038,0.0002,0.9998,True,False,2.295560598373413
11,-645.0993533804995,-145.30952857683275,-645.0993533804995,ok,ok,0.021905715366550345,0.8548,0.1452,False,-0.019870676099900897,-0.00397493020602138,0.355,0.645,False,False,2.9173390865325928
12,-781.9167752778615,-781.9167752778615,-683.4540511393516,ok,ok,0.26335505557231187,0.2194,0.7806,False,1.4291897721296782,0.28589513345262596,0.3094,0.6906,False,False,2.519575357437134
13,-129.60744724620739,-129.60744724620739,-118.12743602998748,ok,ok,0.08148944924148059,0.8708,0.12919999999999998,False,0.09451279400251261,0.08239999477115421,0.8814,0.11860000000000004,False,False,1.6885831356048584
14,-272.1849442132066,-272.1849442132066,-253.69633997192926,ok,ok,0.3169888426413365,0.7294,0.27059999999999995,False,-1.219267994385845,-0.24390237935303943,0.7524,0.24760000000000004,False,False,2.9063119888305664
15,-442.3013715500193,-141.7100552304103,-442.3013715500193,ok,ok,0.022011046082073302,0.8584,0.14159999999999995,False,-0.0202743100038556,-0.004055673135398196,0.5578,0.44220000000000004,False,False,2.873002767562866
16,-241.29042095573877,-156.38456668561437,-241.29042095573877,ok,ok,3.516913337122868,0.8612,0.13880000000000003,False,-22.738084191147745,-4.548526543538253,0.8724,0.12760000000000005,False,False,1.812316656112671
